grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.666667,0.030435,58,0.675365,0.675365,0.687280,0.022561,0.022561,0.671370,0.586858,0.772661,0.478510,0.880777,0.434794,0.945108,0.415527,0.982348
AA 20-40 M,1.000000,0.053491,33,0.675365,0.675365,0.927201,0.031024,0.031024,0.940599,0.832003,1.035994,0.701272,1.148524,0.619328,1.202813,0.540962,1.259188
AA 40-60 F,0.558824,0.008739,202,0.675365,0.675365,0.561319,0.007643,0.007643,0.566985,0.505569,0.628365,0.461829,0.676023,0.450118,0.711736,0.381577,0.733730
AA 40-60 M,0.722222,0.011537,153,0.675365,0.675365,0.708106,0.011331,0.011331,0.734395,0.648910,0.793201,0.589240,0.844801,0.546823,0.888882,0.515063,0.927856
AA 60-80 F,0.741935,0.007234,244,0.675365,0.675365,0.740816,0.006855,0.006855,0.740380,0.688871,0.790492,0.646093,0.862303,0.616104,0.898884,0.606779,0.911869
AA 60-80 M,0.541667,0.011243,157,0.675365,0.675365,0.550338,0.012082,0.012082,0.557712,0.492277,0.637492,0.428557,0.707172,0.367024,0.724056,0.323324,0.761133
AA 80-100 F,0.625000,0.022065,80,0.675365,0.675365,0.662703,0.020265,0.020265,0.677448,0.591991,0.777093,0.503748,0.864815,0.459589,0.879118,0.431580,0.972610
AA 80-100 M,1.000000,0.058840,30,0.675365,0.675365,0.936274,0.042296,0.042296,0.901252,0.795084,1.128562,0.653261,1.210214,0.607979,1.254098,0.582715,1.280176
C 20-40 F,0.636364,0.018779,94,0.675365,0.675365,0.644421,0.012282,0.012282,0.649293,0.570787,0.725449,0.506113,0.793866,0.464654,0.819549,0.439450,0.869897
C 20-40 M,0.600000,0.026746,66,0.675365,0.675365,0.605156,0.022540,0.022540,0.625709,0.502522,0.706594,0.412009,0.775199,0.372082,0.833884,0.344649,0.853859
C 40-60 F,0.632653,0.004077,433,0.675365,0.675365,0.631209,0.003754,0.003754,0.631181,0.594137,0.664098,0.544021,0.692740,0.509670,0.711974,0.473560,0.724841
C 40-60 M,0.702703,0.003662,482,0.675365,0.675365,0.698983,0.003852,0.003852,0.700703,0.655965,0.737342,0.614233,0.774858,0.586982,0.795389,0.581729,0.805146
C 60-80 F,0.718447,0.001866,946,0.675365,0.675365,0.717980,0.001756,0.001756,0.723675,0.692891,0.753629,0.669864,0.772691,0.648848,0.788650,0.636755,0.789914
C 60-80 M,0.580000,0.001845,957,0.675365,0.675365,0.581375,0.001555,0.001555,0.585718,0.556770,0.613694,0.536396,0.629969,0.520672,0.648313,0.510332,0.659813
C 80-100 F,0.779412,0.003362,525,0.675365,0.675365,0.779652,0.003113,0.003113,0.791822,0.748577,0.831168,0.703338,0.845536,0.681740,0.865016,0.677034,0.876860
C 80-100 M,0.769231,0.005349,330,0.675365,0.675365,0.768744,0.004512,0.004512,0.779243,0.732116,0.820433,0.686978,0.854241,0.669069,0.876590,0.651910,0.905529
H 20-40 F,,,0,0.675365,0.675365,0.748662,,,,,,,,,,,
H 20-40 M,,,0,0.675365,0.675365,0.761768,,,,,,,,,,,
H 40-60 F,1.000000,0.098067,18,0.675365,0.675365,0.832591,0.047518,0.047518,0.826056,0.672823,0.974870,0.524872,1.087326,0.482836,1.195310,0.389823,1.242171
H 40-60 M,0.333333,0.092905,19,0.675365,0.675365,0.401254,0.042767,0.042767,0.420404,0.257719,0.520530,0.115550,0.685257,0.052580,0.711300,-0.065067,0.733475
H 60-80 F,1.000000,0.076748,23,0.675365,0.675365,0.880024,0.041870,0.041870,0.919535,0.755050,1.079402,0.656320,1.148632,0.554175,1.165668,0.482786,1.280082
H 60-80 M,0.000000,0.084057,21,0.675365,0.675365,0.250337,0.040932,0.040932,0.275504,0.159078,0.423840,0.040711,0.562568,0.001146,0.617411,-0.063643,0.662742
H 80-100 F,,,0,0.675365,0.675365,0.630332,,,,,,,,,,,
H 80-100 M,1.000000,0.588401,3,0.675365,0.675365,0.786570,0.100705,0.100705,0.812725,0.545222,1.003431,0.339490,1.166723,0.282411,1.256542,0.207564,1.315306
O 20-40 F,1.000000,0.588401,3,0.675365,0.675365,0.772630,0.067907,0.067907,0.763289,0.616072,0.922469,0.453479,1.094942,0.384729,1.224254,0.277619,1.291665
O 20-40 M,,,0,0.675365,0.675365,0.696157,,,,,,,,,,,
O 40-60 F,0.000000,0.126086,14,0.675365,0.675365,0.252295,0.048263,0.048263,0.238706,0.106719,0.410027,-0.082581,0.481383,-0.189996,0.547309,-0.246961,0.570778
O 40-60 M,0.000000,0.092905,19,0.675365,0.675365,0.183287,0.049750,0.049750,0.179454,0.016794,0.315875,-0.089217,0.466825,-0.149949,0.622325,-0.198757,0.675434
O 60-80 F,0.666667,0.065378,27,0.675365,0.675365,0.657422,0.039823,0.039823,0.638638,0.533337,0.743229,0.408976,0.897320,0.323356,0.968323,0.282707,1.097158
O 60-80 M,1.000000,0.063043,28,0.675365,0.675365,0.864702,0.037412,0.037412,0.891267,0.737397,1.000412,0.637767,1.126960,0.567168,1.188171,0.526211,1.247178
O 80-100 F,1.000000,0.196134,9,0.675365,0.675365,0.858030,0.068037,0.068037,0.887066,0.748306,1.046165,0.504390,1.199551,0.389807,1.235192,0.270554,1.268118
O 80-100 M,,,0,0.675365,0.675365,0.506037,,,,,,,,,,,
