grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.666667,58,0.030435,0.028790,0.500000,0.750000,0.451948,0.857143,0.375000,0.889444,0.309375,0.908750
AA 20-40 M,1.000000,33,0.053491,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
AA 40-60 F,0.558824,202,0.008739,0.006632,0.514935,0.622925,0.465116,0.666667,0.435315,0.690021,0.417241,0.711667
AA 40-60 M,0.722222,153,0.011537,0.013397,0.644385,0.810268,0.571429,0.852500,0.554248,0.917708,0.492308,0.939430
AA 60-80 F,0.741935,244,0.007234,0.006944,0.694444,0.810811,0.640559,0.837925,0.608524,0.857707,0.585979,0.887903
AA 60-80 M,0.541667,157,0.011243,0.010411,0.479565,0.616300,0.411497,0.682057,0.370273,0.715414,0.358500,0.743750
AA 80-100 F,0.625000,80,0.022065,0.031011,0.500000,0.750000,0.428571,0.888889,0.372917,1.000000,0.333333,1.000000
AA 80-100 M,1.000000,30,0.058840,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
C 20-40 F,0.636364,94,0.018779,0.021459,0.555556,0.727273,0.444444,0.803333,0.383566,0.859740,0.333333,0.916667
C 20-40 M,0.600000,66,0.026746,0.025682,0.500000,0.737500,0.426891,0.857143,0.400000,0.900455,0.379567,0.956818
C 40-60 F,0.632653,433,0.004077,0.003273,0.589286,0.660462,0.552589,0.684678,0.520833,0.708354,0.510863,0.727763
C 40-60 M,0.702703,482,0.003662,0.006503,0.647777,0.756757,0.594595,0.807385,0.574821,0.823782,0.567095,0.849887
C 60-80 F,0.718447,946,0.001866,0.001540,0.693305,0.739130,0.663700,0.761103,0.646193,0.770836,0.633303,0.788420
C 60-80 M,0.580000,957,0.001845,0.002215,0.557809,0.617379,0.526111,0.641534,0.512391,0.663178,0.497547,0.677590
C 80-100 F,0.779412,525,0.003362,0.002660,0.735677,0.803030,0.701169,0.848485,0.682969,0.855469,0.668553,0.864131
C 80-100 M,0.769231,330,0.005349,0.004995,0.722222,0.812863,0.692308,0.845000,0.645740,0.865043,0.590233,0.875073
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,1.000000,18,0.098067,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 40-60 M,0.333333,19,0.092905,0.099226,0.041667,0.500000,0.000000,0.940000,0.000000,1.000000,0.000000,1.000000
H 60-80 F,1.000000,23,0.076748,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 60-80 M,0.000000,21,0.084057,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,1.000000,3,0.588401,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 F,1.000000,3,0.588401,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,14,0.126086,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 M,0.000000,19,0.092905,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 60-80 F,0.666667,27,0.065378,0.091737,0.500000,1.000000,0.300000,1.000000,0.000000,1.000000,0.000000,1.000000
O 60-80 M,1.000000,28,0.063043,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 80-100 F,1.000000,9,0.196134,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 80-100 M,0.000000,0,,,,,,,,,,
