grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.081633,58,0.002929,0.002251,0.057692,0.105903,0.039068,0.146344,0.018269,0.174041,0.000000,0.192004
AA 20-40 M,0.111111,33,0.005148,0.003738,0.074074,0.157510,0.037037,0.185897,0.033280,0.218522,0.014844,0.245250
AA 40-60 F,0.119048,202,0.000841,0.000538,0.110305,0.136232,0.090909,0.152580,0.081388,0.160494,0.068988,0.160714
AA 40-60 M,0.200000,153,0.001110,0.001510,0.177129,0.223992,0.154919,0.250000,0.137201,0.258333,0.122948,0.277731
AA 60-80 F,0.211268,244,0.000696,0.000828,0.195871,0.231668,0.179819,0.251165,0.165097,0.262074,0.156974,0.277759
AA 60-80 M,0.300752,157,0.001082,0.002090,0.273901,0.336540,0.246184,0.359055,0.231315,0.389752,0.220772,0.395623
AA 80-100 F,0.194444,80,0.002124,0.002288,0.162989,0.228571,0.138699,0.250000,0.124914,0.264075,0.119431,0.299320
AA 80-100 M,0.111111,30,0.005663,0.003469,0.071429,0.148148,0.037037,0.192308,0.034483,0.200417,0.015833,0.222940
C 20-40 F,0.120482,94,0.001807,0.000947,0.097267,0.141026,0.076638,0.151341,0.069727,0.158634,0.053268,0.176776
C 20-40 M,0.071429,66,0.002574,0.001055,0.050847,0.092220,0.032958,0.111111,0.017514,0.120778,0.007661,0.126193
C 40-60 F,0.088542,433,0.000392,0.000270,0.077775,0.098129,0.067537,0.107990,0.062987,0.113768,0.056744,0.115456
C 40-60 M,0.112360,482,0.000352,0.000182,0.108844,0.125851,0.099977,0.134868,0.092540,0.140248,0.089745,0.141064
C 60-80 F,0.189798,946,0.000180,0.000188,0.180299,0.198747,0.172309,0.207469,0.165867,0.211388,0.164209,0.214120
C 60-80 M,0.207701,957,0.000178,0.000237,0.196632,0.218676,0.188791,0.227841,0.185096,0.233286,0.180337,0.237490
C 80-100 F,0.199125,525,0.000324,0.000309,0.185968,0.211150,0.174664,0.220066,0.168514,0.224329,0.160555,0.230376
C 80-100 M,0.161512,330,0.000515,0.000556,0.149041,0.181972,0.134568,0.191007,0.125393,0.201472,0.117102,0.210814
H 20-40 F,0.000000,7,0.024269,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,5,0.033977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.000000,18,0.009438,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 M,0.125000,19,0.008941,0.006907,0.058824,0.166667,0.000000,0.222222,0.000000,0.266667,0.000000,0.290126
H 60-80 F,0.238095,23,0.007386,0.010234,0.150000,0.285714,0.130435,0.363636,0.090711,0.410065,0.066304,0.452386
H 60-80 M,0.100000,21,0.008090,0.005500,0.050000,0.150000,0.000000,0.200000,0.000000,0.238690,0.000000,0.256908
H 80-100 F,0.200000,5,0.033977,0.039414,0.000000,0.200000,0.000000,0.400000,0.000000,0.600000,0.000000,0.600000
H 80-100 M,0.500000,3,0.056628,0.201960,0.000000,0.666667,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 F,0.000000,3,0.056628,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 M,0.000000,3,0.056628,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.000000,14,0.012135,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 M,0.111111,19,0.008941,0.006265,0.055556,0.166667,0.000000,0.222222,0.000000,0.236687,0.000000,0.277778
O 60-80 F,0.125000,27,0.006292,0.004119,0.083333,0.166667,0.041667,0.217391,0.038462,0.222475,0.017593,0.260870
O 60-80 M,0.076923,28,0.006067,0.002513,0.038462,0.112179,0.032143,0.143386,0.000000,0.160929,0.000000,0.192308
O 80-100 F,0.250000,9,0.018876,0.026438,0.142857,0.333333,0.111111,0.500000,0.000000,0.555556,0.000000,0.571429
O 80-100 M,0.200000,5,0.033977,0.049551,0.000000,0.400000,0.000000,0.600000,0.000000,0.600000,0.000000,0.600000
