grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.250000,0.014610,58,0.196167,0.196167,0.260024,0.008895,0.008895,0.251959,0.191234,0.311038,0.136558,0.368340,0.097002,0.424675,0.089698,0.453344
AA 20-40 M,0.500000,0.025678,33,0.196167,0.196167,0.387204,0.009452,0.009452,0.399290,0.334240,0.448774,0.249661,0.498927,0.216426,0.542898,0.175638,0.561599
AA 40-60 F,0.135135,0.004216,201,0.196167,0.196167,0.140722,0.003220,0.003220,0.143933,0.102176,0.184838,0.076542,0.218240,0.069953,0.238885,0.021267,0.251615
AA 40-60 M,0.142857,0.005538,153,0.196167,0.196167,0.147983,0.004678,0.004678,0.164981,0.112258,0.201863,0.072115,0.233935,0.049468,0.270194,0.022176,0.286257
AA 60-80 F,0.217391,0.003473,244,0.196167,0.196167,0.217323,0.002974,0.002974,0.218174,0.184391,0.249579,0.154344,0.298744,0.137791,0.319565,0.128967,0.332298
AA 60-80 M,0.230769,0.005397,157,0.196167,0.196167,0.231884,0.004962,0.004962,0.236721,0.196504,0.286458,0.158930,0.331680,0.115509,0.346089,0.086599,0.368495
AA 80-100 F,0.130435,0.010592,80,0.196167,0.196167,0.133299,0.007623,0.007623,0.143299,0.087940,0.201548,0.032991,0.256874,0.003124,0.276397,-0.007187,0.322472
AA 80-100 M,0.142857,0.027335,31,0.196167,0.196167,0.150985,0.012026,0.012026,0.138153,0.075287,0.260950,0.023555,0.291584,-0.013671,0.317707,-0.033371,0.348195
C 20-40 F,0.391304,0.009015,94,0.196167,0.196167,0.360338,0.005039,0.005039,0.364549,0.312099,0.411140,0.276339,0.453757,0.248941,0.471409,0.227510,0.498300
C 20-40 M,0.133333,0.012648,67,0.196167,0.196167,0.180433,0.007194,0.007194,0.190137,0.123511,0.239734,0.073974,0.277566,0.049728,0.303739,0.031400,0.323357
C 40-60 F,0.257576,0.001957,433,0.196167,0.196167,0.251392,0.001716,0.001716,0.251450,0.225801,0.273912,0.191267,0.293494,0.169685,0.305377,0.144309,0.314446
C 40-60 M,0.261538,0.001758,482,0.196167,0.196167,0.257292,0.001749,0.001749,0.259465,0.228226,0.284170,0.200980,0.308000,0.182667,0.322775,0.179256,0.327572
C 60-80 F,0.152838,0.000896,946,0.196167,0.196167,0.155456,0.000820,0.000820,0.159579,0.137845,0.180255,0.121819,0.192683,0.108633,0.203363,0.099913,0.205457
C 60-80 M,0.225962,0.000885,957,0.196167,0.196167,0.226237,0.000731,0.000731,0.229397,0.209935,0.248564,0.195328,0.259023,0.184675,0.272355,0.177839,0.279835
C 80-100 F,0.139785,0.001614,525,0.196167,0.196167,0.140278,0.001429,0.001429,0.149393,0.119859,0.174217,0.088064,0.185124,0.073719,0.200887,0.071058,0.206243
C 80-100 M,0.139241,0.002568,330,0.196167,0.196167,0.140355,0.002005,0.002005,0.147573,0.117464,0.174229,0.087362,0.198674,0.073729,0.216746,0.062210,0.231663
H 20-40 F,0.000000,0.121055,7,0.196167,0.196167,0.094556,0.019957,0.019957,0.077113,-0.016046,0.171421,-0.104425,0.278917,-0.144651,0.319155,-0.180161,0.335162
H 20-40 M,,,0,0.196167,0.196167,0.209554,,,,,,,,,,,
H 40-60 F,0.250000,0.047077,18,0.196167,0.196167,0.159682,0.011909,0.011909,0.150485,0.083418,0.238050,0.017753,0.280356,-0.029746,0.339532,-0.054340,0.363747
H 40-60 M,0.000000,0.044599,19,0.196167,0.196167,0.063516,0.012105,0.012105,0.062414,-0.004615,0.138096,-0.082452,0.206350,-0.133630,0.237217,-0.167953,0.247631
H 60-80 F,0.166667,0.036843,23,0.196167,0.196167,0.156546,0.012098,0.012098,0.181251,0.093951,0.256486,0.039212,0.296818,-0.018091,0.324783,-0.045817,0.364924
H 60-80 M,0.000000,0.042369,20,0.196167,0.196167,0.090723,0.011606,0.011606,0.103518,0.033257,0.183212,-0.015988,0.263391,-0.040636,0.292999,-0.089444,0.310737
H 80-100 F,,,0,0.196167,0.196167,0.042828,,,,,,,,,,,
H 80-100 M,,,0,0.196167,0.196167,0.126911,,,,,,,,,,,
O 20-40 F,0.000000,0.211846,4,0.196167,0.196167,0.065099,0.075943,0.075943,0.037136,-0.117607,0.241606,-0.245210,0.362109,-0.383681,0.485395,-0.469525,0.630499
O 20-40 M,,,0,0.196167,0.196167,0.250605,,,,,,,,,,,
O 40-60 F,0.000000,0.060528,14,0.196167,0.196167,0.126514,0.014409,0.014409,0.128637,0.038633,0.200686,-0.054626,0.258944,-0.123786,0.291796,-0.149488,0.308058
O 40-60 M,0.000000,0.044599,19,0.196167,0.196167,0.114886,0.012772,0.012772,0.111332,0.027517,0.178830,-0.013402,0.256503,-0.065167,0.331193,-0.080223,0.384937
O 60-80 F,0.250000,0.031385,27,0.196167,0.196167,0.225317,0.012058,0.012058,0.210096,0.151733,0.271622,0.084648,0.346475,0.054376,0.421451,0.030712,0.473495
O 60-80 M,0.500000,0.030264,28,0.196167,0.196167,0.336466,0.011429,0.011429,0.353029,0.267131,0.415989,0.206856,0.482472,0.165534,0.499316,0.153391,0.543991
O 80-100 F,0.000000,0.094154,9,0.196167,0.196167,0.101487,0.014903,0.014903,0.106676,0.044835,0.185516,-0.051686,0.258331,-0.133259,0.290514,-0.204092,0.306103
O 80-100 M,,,0,0.196167,0.196167,0.128604,,,,,,,,,,,
