grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.634921,0.012613,58,0.656656,0.656656,0.658102,0.007515,0.007515,0.651653,0.604945,0.702642,0.541696,0.774535,0.513491,0.810590,0.505655,0.821163
AA 20-40 M,0.571429,0.021517,34,0.656656,0.656656,0.626124,0.009338,0.009338,0.628874,0.563504,0.688000,0.501279,0.750050,0.458237,0.782358,0.419366,0.805786
AA 40-60 F,0.654065,0.003622,202,0.656656,0.656656,0.659987,0.002866,0.002866,0.662723,0.624539,0.701353,0.600454,0.731887,0.591734,0.752482,0.549202,0.765572
AA 40-60 M,0.736057,0.004781,153,0.656656,0.656656,0.731691,0.004251,0.004251,0.749785,0.695993,0.784453,0.659233,0.814471,0.636145,0.845341,0.612102,0.863241
AA 60-80 F,0.664796,0.002998,244,0.656656,0.656656,0.660354,0.002645,0.002645,0.660174,0.628800,0.693159,0.601747,0.736446,0.583001,0.756266,0.576853,0.767842
AA 60-80 M,0.743254,0.004630,158,0.656656,0.656656,0.725871,0.004492,0.004492,0.731420,0.693599,0.778666,0.654009,0.819573,0.611915,0.831931,0.590669,0.855073
AA 80-100 F,0.694359,0.009145,80,0.656656,0.656656,0.682521,0.007081,0.007081,0.691125,0.637654,0.749857,0.585474,0.801040,0.552113,0.823264,0.547215,0.861661
AA 80-100 M,0.547619,0.023599,31,0.656656,0.656656,0.587562,0.012350,0.012350,0.575366,0.509745,0.686835,0.442223,0.735423,0.420694,0.756383,0.395227,0.775936
C 20-40 F,0.841346,0.007783,94,0.656656,0.656656,0.814710,0.004418,0.004418,0.819664,0.772780,0.861913,0.731430,0.902513,0.702735,0.922997,0.696447,0.945673
C 20-40 M,0.741883,0.010919,67,0.656656,0.656656,0.745154,0.007696,0.007696,0.754759,0.691369,0.808534,0.636280,0.842213,0.609023,0.876173,0.591163,0.890967
C 40-60 F,0.676706,0.001693,432,0.656656,0.656656,0.678202,0.001505,0.001505,0.678044,0.655418,0.699480,0.623498,0.717218,0.600400,0.729756,0.578153,0.738600
C 40-60 M,0.639028,0.001518,482,0.656656,0.656656,0.641970,0.001536,0.001536,0.643102,0.614865,0.666950,0.589266,0.689606,0.571881,0.701750,0.568085,0.709788
C 60-80 F,0.602146,0.000774,945,0.656656,0.656656,0.602977,0.000718,0.000718,0.606441,0.586893,0.626087,0.571558,0.637649,0.558843,0.648189,0.551232,0.649444
C 60-80 M,0.689533,0.000764,957,0.656656,0.656656,0.687628,0.000634,0.000634,0.690416,0.672198,0.708114,0.658983,0.718416,0.648669,0.730510,0.643124,0.738167
C 80-100 F,0.636331,0.001393,525,0.656656,0.656656,0.636898,0.001248,0.001248,0.643680,0.615324,0.667829,0.589161,0.678055,0.575666,0.690624,0.570404,0.698695
C 80-100 M,0.610119,0.002217,330,0.656656,0.656656,0.613010,0.001778,0.001778,0.617334,0.591215,0.644045,0.562603,0.666159,0.550830,0.681150,0.539323,0.701479
H 20-40 F,,,0,0.656656,0.656656,0.647869,,,,,,,,,,,
H 20-40 M,,,0,0.656656,0.656656,0.669857,,,,,,,,,,,
H 40-60 F,0.714286,0.038503,19,0.656656,0.656656,0.681270,0.011930,0.011930,0.674745,0.597469,0.751729,0.556277,0.807427,0.505019,0.870737,0.478037,0.880777
H 40-60 M,0.888889,0.038503,19,0.656656,0.656656,0.792192,0.011304,0.011304,0.797770,0.719249,0.853083,0.635135,0.932527,0.595317,0.950837,0.549645,0.959007
H 60-80 F,0.409091,0.031807,23,0.656656,0.656656,0.520493,0.011228,0.011228,0.557544,0.456195,0.614901,0.412645,0.665457,0.346340,0.674596,0.312971,0.726353
H 60-80 M,0.426471,0.034836,21,0.656656,0.656656,0.527937,0.010287,0.010287,0.543862,0.480368,0.623967,0.434515,0.686551,0.392474,0.709416,0.364549,0.734649
H 80-100 F,0.800000,0.121927,6,0.656656,0.656656,0.671002,0.015529,0.015529,0.673489,0.579823,0.743257,0.502048,0.821765,0.444404,0.848090,0.417782,0.885900
H 80-100 M,1.000000,0.243854,3,0.656656,0.656656,0.723898,0.016777,0.016777,0.721331,0.627354,0.825752,0.562185,0.898555,0.517518,0.932519,0.500836,0.939447
O 20-40 F,1.000000,0.243854,3,0.656656,0.656656,0.709358,0.019270,0.019270,0.699031,0.647327,0.785114,0.570378,0.892296,0.501971,0.924216,0.444524,0.951006
O 20-40 M,,,0,0.656656,0.656656,0.776251,,,,,,,,,,,
O 40-60 F,,,0,0.656656,0.656656,0.704211,,,,,,,,,,,
O 40-60 M,0.833333,0.036578,20,0.656656,0.656656,0.790832,0.016125,0.016125,0.791927,0.711269,0.866618,0.632289,0.951419,0.597845,1.010562,0.545791,1.069823
O 60-80 F,,,0,0.656656,0.656656,0.648756,,,,,,,,,,,
O 60-80 M,0.591304,0.026127,28,0.656656,0.656656,0.623215,0.011822,0.011822,0.641232,0.557918,0.715680,0.490114,0.777774,0.465661,0.825739,0.442040,0.844731
O 80-100 F,,,0,0.656656,0.656656,0.638327,,,,,,,,,,,
O 80-100 M,0.750000,0.146312,5,0.656656,0.656656,0.753110,0.021621,0.021621,0.760781,0.654753,0.865671,0.566692,0.945909,0.520121,1.007813,0.507226,1.064871
