grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.137931,58,0.002664,0.002250,0.120690,0.172414,0.084483,0.206897,0.068966,0.224138,0.051724,0.224138
AA 20-40 M,0.205882,34,0.004545,0.004794,0.176471,0.235294,0.117647,0.294118,0.116176,0.325000,0.072794,0.352941
AA 40-60 F,0.183168,202,0.000765,0.000697,0.158416,0.198020,0.148020,0.212871,0.138614,0.217822,0.133663,0.227970
AA 40-60 M,0.241830,153,0.001010,0.000837,0.227124,0.261438,0.202614,0.281046,0.189542,0.287582,0.189542,0.294118
AA 60-80 F,0.245902,244,0.000633,0.000990,0.225410,0.274590,0.213115,0.286885,0.200205,0.295287,0.184426,0.305430
AA 60-80 M,0.272152,158,0.000978,0.001606,0.240506,0.299051,0.221519,0.317089,0.208861,0.335759,0.202532,0.345095
AA 80-100 F,0.175000,80,0.001931,0.001904,0.150000,0.200000,0.123750,0.237500,0.100000,0.250000,0.100000,0.262500
AA 80-100 M,0.225806,31,0.004984,0.007007,0.161290,0.258065,0.129032,0.354839,0.129032,0.388710,0.112097,0.419355
C 20-40 F,0.138298,94,0.001644,0.001713,0.106383,0.159574,0.085106,0.180851,0.074468,0.202660,0.058245,0.218351
C 20-40 M,0.208955,67,0.002306,0.002551,0.179104,0.227612,0.149254,0.268657,0.133582,0.283582,0.111567,0.329104
C 40-60 F,0.138889,432,0.000358,0.000270,0.126736,0.148148,0.113426,0.159722,0.110880,0.164352,0.105266,0.167998
C 40-60 M,0.118257,482,0.000321,0.000226,0.107884,0.125000,0.099378,0.136929,0.091183,0.145228,0.087137,0.146317
C 60-80 F,0.237037,945,0.000164,0.000178,0.227513,0.246561,0.224127,0.255132,0.216825,0.258254,0.209815,0.261984
C 60-80 M,0.216301,957,0.000161,0.000158,0.207680,0.222571,0.201567,0.231243,0.195350,0.236155,0.193312,0.239890
C 80-100 F,0.180952,525,0.000294,0.000253,0.169524,0.192381,0.158095,0.200381,0.156190,0.205810,0.153286,0.210524
C 80-100 M,0.203030,330,0.000468,0.000545,0.181818,0.215152,0.166667,0.224848,0.163636,0.245455,0.162045,0.248636
H 20-40 F,0.000000,7,0.022074,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 20-40 M,0.000000,5,0.030903,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
H 40-60 F,0.105263,19,0.008132,0.005607,0.052632,0.157895,0.000000,0.210526,0.000000,0.213158,0.000000,0.263158
H 40-60 M,0.210526,19,0.008132,0.009289,0.157895,0.315789,0.105263,0.368421,0.105263,0.421053,0.105263,0.421053
H 60-80 F,0.217391,23,0.006718,0.007774,0.173913,0.260870,0.130435,0.347826,0.086957,0.391304,0.086957,0.391304
H 60-80 M,0.238095,21,0.007358,0.009730,0.190476,0.285714,0.095238,0.333333,0.092857,0.428571,0.047619,0.428571
H 80-100 F,0.333333,6,0.025752,0.045805,0.166667,0.500000,0.150000,0.666667,0.000000,0.666667,0.000000,0.666667
H 80-100 M,0.666667,3,0.051505,0.100741,0.666667,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000
O 20-40 F,0.000000,3,0.051505,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 M,0.000000,2,0.077257,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 F,0.066667,15,0.010301,0.003927,0.000000,0.133333,0.000000,0.133333,0.000000,0.200000,0.000000,0.200000
O 40-60 M,0.200000,20,0.007726,0.006512,0.150000,0.250000,0.100000,0.300000,0.100000,0.302500,0.050000,0.376250
O 60-80 F,0.222222,27,0.005723,0.006062,0.148148,0.259259,0.111111,0.300000,0.111111,0.333333,0.074074,0.370370
O 60-80 M,0.285714,28,0.005518,0.007202,0.241071,0.330357,0.178571,0.392857,0.142857,0.428571,0.142857,0.428571
O 80-100 F,0.000000,10,0.015451,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 80-100 M,0.400000,5,0.030903,0.060424,0.200000,0.600000,0.000000,0.600000,0.000000,0.610000,0.000000,0.800000
