grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.844828,0.002980,58,0.841076,0.839638,0.844478,0.002792,0.002792,0.837356,0.807907,0.873017,0.771733,0.912474,0.755319,0.933468,0.748554,0.943181
AA 20-40 M,0.735294,0.005084,34,0.782004,0.734714,0.735438,0.004583,0.004583,0.740752,0.696826,0.775546,0.640314,0.818815,0.619929,0.844686,0.590929,0.868383
AA 40-60 F,0.825871,0.000860,201,0.821461,0.816566,0.823763,0.000833,0.000833,0.827872,0.806441,0.845619,0.792553,0.860568,0.787213,0.873502,0.766238,0.882793
AA 40-60 M,0.836601,0.001130,153,0.826086,0.835529,0.835412,0.001263,0.001263,0.842137,0.815508,0.863364,0.796899,0.882070,0.780090,0.892808,0.772149,0.910956
AA 60-80 F,0.766393,0.000708,244,0.762451,0.773723,0.766556,0.000726,0.000726,0.766134,0.749803,0.782281,0.734637,0.806846,0.726126,0.817773,0.721736,0.821485
AA 60-80 M,0.636943,0.001101,157,0.652803,0.636943,0.636943,0.001335,0.001335,0.638640,0.617366,0.667592,0.592895,0.689628,0.577144,0.695463,0.562266,0.706428
AA 80-100 F,0.737500,0.002161,80,0.768541,0.737500,0.737500,0.002499,0.002499,0.743404,0.709192,0.778909,0.678969,0.807354,0.668193,0.818171,0.655050,0.847042
AA 80-100 M,0.833333,0.005762,30,0.819827,0.852219,0.852713,0.006803,0.006803,0.844364,0.793882,0.915264,0.731801,0.963859,0.713161,0.980233,0.700103,0.984161
C 20-40 F,0.840426,0.001839,94,0.835458,0.835049,0.836708,0.001451,0.001451,0.837841,0.811652,0.866054,0.790300,0.888789,0.773107,0.895689,0.764452,0.916061
C 20-40 M,0.865672,0.002580,67,0.828640,0.865672,0.865672,0.002667,0.002667,0.871465,0.829704,0.904466,0.801171,0.925821,0.784484,0.932295,0.774811,0.951525
C 40-60 F,0.849537,0.000400,432,0.843803,0.849537,0.849537,0.000379,0.000379,0.849932,0.837445,0.859826,0.822243,0.868871,0.810786,0.874549,0.799825,0.878524
C 40-60 M,0.819502,0.000359,482,0.824651,0.819502,0.819502,0.000394,0.000394,0.820719,0.805814,0.831708,0.792382,0.843460,0.782975,0.849994,0.781682,0.853161
C 60-80 F,0.728042,0.000183,945,0.730671,0.728042,0.728042,0.000174,0.000174,0.730060,0.720091,0.739397,0.713009,0.745375,0.706702,0.750182,0.702617,0.750744
C 60-80 M,0.752351,0.000181,957,0.751805,0.750231,0.752271,0.000155,0.000155,0.753529,0.744154,0.762511,0.738085,0.767569,0.733772,0.773228,0.729742,0.777189
C 80-100 F,0.779048,0.000329,525,0.778719,0.782173,0.779813,0.000321,0.000321,0.783443,0.768854,0.796137,0.756544,0.802027,0.748681,0.805577,0.746717,0.811121
C 80-100 M,0.761329,0.000522,331,0.768828,0.761329,0.761329,0.000472,0.000472,0.764987,0.749370,0.778086,0.734553,0.789346,0.728182,0.795753,0.723264,0.805337
H 20-40 F,0.833333,0.028809,6,0.824051,0.852178,0.855012,0.013523,0.013523,0.839611,0.751275,0.899313,0.681635,0.960893,0.671844,0.980714,0.638729,1.005761
H 20-40 M,1.000000,0.034571,5,0.920842,1.013882,1.029795,0.013421,0.013421,1.039430,0.957497,1.104240,0.882461,1.159048,0.834393,1.182331,0.817897,1.207915
H 40-60 F,0.842105,0.009098,19,0.837228,0.849797,0.832761,0.007251,0.007251,0.819503,0.772192,0.880819,0.694366,0.943432,0.677093,0.973260,0.665287,0.985419
H 40-60 M,0.944444,0.009603,18,0.883389,0.913927,0.926445,0.007090,0.007090,0.926347,0.871667,0.968537,0.821922,1.027486,0.781051,1.034849,0.732035,1.062237
H 60-80 F,0.869565,0.007515,23,0.780059,0.805483,0.839171,0.005749,0.005749,0.858273,0.800413,0.904592,0.757705,0.930732,0.711764,0.944350,0.671328,0.974417
H 60-80 M,0.666667,0.008231,21,0.759937,0.762424,0.714197,0.006691,0.006691,0.720748,0.679278,0.769254,0.632874,0.839807,0.611239,0.873988,0.587289,0.899958
H 80-100 F,0.833333,0.028809,6,0.802847,0.874457,0.886759,0.017662,0.017662,0.884467,0.821893,0.955165,0.719448,1.053078,0.688587,1.076598,0.627497,1.094021
H 80-100 M,1.000000,0.057618,3,0.814488,0.812311,0.867613,0.011396,0.011396,0.858117,0.780074,0.940800,0.723965,0.997199,0.691708,1.028084,0.669856,1.047114
O 20-40 F,0.333333,0.057618,3,0.721221,0.629276,0.483547,0.043227,0.043227,0.456764,0.360282,0.616968,0.253753,0.774312,0.154809,0.845122,0.100943,0.945698
O 20-40 M,1.000000,0.057618,3,0.829202,0.892109,0.921102,0.015982,0.015982,0.913914,0.819618,0.989705,0.756112,1.057954,0.718419,1.152282,0.685365,1.183116
O 40-60 F,0.785714,0.012347,14,0.910029,0.962362,0.870769,0.007541,0.007541,0.876138,0.831506,0.929209,0.744899,0.957012,0.694054,0.977291,0.661069,0.994438
O 40-60 M,0.894737,0.009098,19,0.866131,0.892861,0.890336,0.008648,0.008648,0.883424,0.828446,0.934427,0.770963,0.985544,0.751973,1.072385,0.727875,1.105160
O 60-80 F,0.814815,0.006402,27,0.776113,0.810212,0.808650,0.005816,0.005816,0.804919,0.765290,0.842424,0.703200,0.897983,0.671100,0.906941,0.638314,0.964181
O 60-80 M,0.750000,0.006173,28,0.754991,0.743850,0.746584,0.005638,0.005638,0.756444,0.704964,0.801476,0.668406,0.857764,0.632601,0.881221,0.625470,0.906072
O 80-100 F,1.000000,0.019206,9,0.826472,0.869380,0.930586,0.010405,0.010405,0.946834,0.887962,0.988658,0.811520,1.034607,0.748408,1.074920,0.642147,1.097508
