grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.717949,58,0.015023,0.021498,0.630049,0.789375,0.556488,0.864906,0.472762,0.957999,0.404276,0.987821
AA 20-40 M,0.491667,34,0.025627,0.029624,0.391146,0.633908,0.277573,0.717543,0.236341,0.752896,0.225806,0.809167
AA 40-60 F,0.697118,201,0.004335,0.003902,0.633307,0.723287,0.607006,0.750471,0.563317,0.757357,0.541102,0.779226
AA 40-60 M,0.687363,153,0.005695,0.009297,0.611548,0.732825,0.545369,0.787433,0.516789,0.853279,0.503944,0.870164
AA 60-80 F,0.617553,244,0.003571,0.006030,0.586962,0.686440,0.522426,0.725765,0.491528,0.754400,0.477426,0.770583
AA 60-80 M,0.551487,157,0.005550,0.005583,0.498702,0.605756,0.451885,0.638106,0.424624,0.664584,0.408436,0.676957
AA 80-100 F,0.672857,80,0.010892,0.005558,0.626344,0.718895,0.564861,0.756941,0.538096,0.777957,0.525727,0.818847
AA 80-100 M,0.701923,30,0.029044,0.022526,0.628000,0.827160,0.533995,0.885043,0.487707,0.926430,0.441267,0.963580
C 20-40 F,0.823718,94,0.009269,0.004442,0.768670,0.870816,0.730244,0.905211,0.709162,0.916283,0.677190,0.923827
C 20-40 M,0.969697,67,0.013005,0.000433,0.953846,0.984615,0.939394,1.000000,0.936806,1.000000,0.932215,1.000000
C 40-60 F,0.758168,432,0.002017,0.001668,0.730731,0.786726,0.710687,0.807081,0.677519,0.820982,0.666638,0.825850
C 40-60 M,0.610407,482,0.001808,0.001772,0.583863,0.644135,0.563338,0.670791,0.541502,0.678908,0.534473,0.686638
C 60-80 F,0.586317,945,0.000922,0.001039,0.562799,0.605775,0.546365,0.626085,0.540672,0.637583,0.523967,0.651548
C 60-80 M,0.625094,957,0.000910,0.000893,0.607375,0.649769,0.594010,0.666708,0.587955,0.679201,0.574570,0.695646
C 80-100 F,0.657799,525,0.001660,0.001296,0.629514,0.679633,0.613576,0.705237,0.605951,0.717341,0.600499,0.726435
C 80-100 M,0.601397,331,0.002632,0.003269,0.562904,0.631984,0.537811,0.670363,0.515429,0.701792,0.483160,0.708001
H 20-40 F,0.000000,0,,,,,,,,,,
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.823529,19,0.045859,0.016937,0.777778,0.941176,0.615385,1.000000,0.598529,1.000000,0.557118,1.000000
H 40-60 M,0.910714,18,0.048407,0.010008,0.840402,1.000000,0.785714,1.000000,0.750000,1.000000,0.732031,1.000000
H 60-80 F,0.916667,23,0.037884,0.004723,0.866667,0.966071,0.816471,1.000000,0.772727,1.000000,0.761905,1.000000
H 60-80 M,0.700000,21,0.041492,0.010081,0.631579,0.792105,0.578947,0.842105,0.548816,0.850000,0.526316,0.870417
H 80-100 F,0.600000,6,0.145221,0.074984,0.400000,0.750000,0.250000,0.840000,0.080000,1.000000,0.000000,1.000000
H 80-100 M,0.000000,0,,,,,,,,,,
O 20-40 F,0.500000,3,0.290442,0.247120,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.230769,14,0.062238,0.011663,0.153846,0.250000,0.076923,0.310256,0.076923,0.384615,0.000000,0.386538
O 40-60 M,1.000000,19,0.045859,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 60-80 F,0.400000,27,0.032271,0.045226,0.179487,0.547778,0.116308,0.676224,0.089799,0.720000,0.080000,0.730769
O 60-80 M,0.296296,28,0.031119,0.009501,0.222222,0.346154,0.167556,0.423077,0.149003,0.458974,0.120000,0.481481
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,0.000000,0,,,,,,,,,,
