grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.120690,0.002634,58,0.127230,0.131317,0.125236,0.002569,0.002569,0.122327,0.092262,0.157368,0.056632,0.190600,0.041704,0.212307,0.035060,0.221304
AA 20-40 M,0.205882,0.004493,34,0.194561,0.208099,0.206442,0.004367,0.004367,0.209752,0.165570,0.243956,0.116835,0.287894,0.093261,0.309145,0.061516,0.333805
AA 40-60 F,0.139303,0.000760,201,0.145107,0.139303,0.139303,0.000736,0.000736,0.141463,0.122035,0.158993,0.108317,0.172936,0.104772,0.186062,0.083690,0.194797
AA 40-60 M,0.156863,0.000998,153,0.153794,0.153795,0.157413,0.001122,0.001122,0.163901,0.138944,0.184045,0.122860,0.201466,0.105406,0.211410,0.097942,0.228431
AA 60-80 F,0.204918,0.000626,244,0.203971,0.202954,0.204723,0.000647,0.000647,0.204837,0.189147,0.219876,0.174771,0.242692,0.166716,0.252868,0.163088,0.257227
AA 60-80 M,0.305732,0.000973,157,0.298291,0.305732,0.305732,0.001190,0.001190,0.307054,0.287329,0.336025,0.264324,0.354860,0.249517,0.361235,0.233383,0.371443
AA 80-100 F,0.212500,0.001910,80,0.197872,0.212500,0.212500,0.002178,0.002178,0.218050,0.185606,0.252017,0.160929,0.278282,0.147951,0.288323,0.136608,0.315478
AA 80-100 M,0.100000,0.005092,30,0.123744,0.108563,0.089349,0.006142,0.006142,0.078519,0.035590,0.158989,-0.021092,0.195261,-0.041841,0.207226,-0.051626,0.214745
C 20-40 F,0.095745,0.001625,94,0.108157,0.095745,0.095745,0.001293,0.001293,0.096797,0.072481,0.122269,0.055337,0.145115,0.032780,0.151539,0.029120,0.170343
C 20-40 M,0.149254,0.002280,67,0.150752,0.146967,0.149409,0.002391,0.002391,0.155919,0.116277,0.185604,0.087931,0.202417,0.073085,0.219500,0.063993,0.234457
C 40-60 F,0.129630,0.000354,432,0.130754,0.128503,0.129794,0.000338,0.000338,0.130434,0.118541,0.139763,0.103895,0.148257,0.093365,0.154539,0.082962,0.157547
C 40-60 M,0.134855,0.000317,482,0.137274,0.134855,0.134855,0.000348,0.000348,0.135998,0.122267,0.146533,0.109356,0.157377,0.101177,0.163520,0.099199,0.166497
C 60-80 F,0.222222,0.000162,945,0.220988,0.222222,0.222222,0.000155,0.000155,0.223859,0.214770,0.232897,0.207904,0.238516,0.201704,0.242555,0.197913,0.243743
C 60-80 M,0.233020,0.000160,957,0.232426,0.231959,0.232805,0.000137,0.000137,0.233729,0.225175,0.242712,0.219746,0.247293,0.215080,0.252805,0.211551,0.256069
