grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.827586,58,0.002923,0.002570,0.793103,0.862069,0.758621,0.881034,0.741379,0.897414,0.732328,0.913793
AA 20-40 M,0.787879,33,0.005137,0.005623,0.727273,0.848485,0.696970,0.878788,0.665152,0.909091,0.606061,0.909091
AA 40-60 F,0.786070,201,0.000843,0.000699,0.766169,0.800995,0.756219,0.815920,0.746269,0.826119,0.746269,0.838433
AA 40-60 M,0.830065,153,0.001108,0.001025,0.810458,0.844771,0.790850,0.875817,0.777778,0.882680,0.764379,0.888889
AA 60-80 F,0.733607,244,0.000695,0.000794,0.717213,0.755123,0.700820,0.770492,0.688525,0.782787,0.680123,0.793340
AA 60-80 M,0.681529,157,0.001080,0.001450,0.656051,0.700637,0.624204,0.726115,0.605096,0.745223,0.598726,0.745223
AA 80-100 F,0.759494,79,0.002146,0.002013,0.734177,0.784810,0.696203,0.811392,0.682911,0.823418,0.664241,0.848101
AA 80-100 M,0.677419,31,0.005468,0.006280,0.612903,0.741935,0.580645,0.774194,0.548387,0.806452,0.531452,0.806452
C 20-40 F,0.851064,94,0.001803,0.001180,0.837766,0.872340,0.808511,0.893617,0.797872,0.904255,0.781649,0.914894
C 20-40 M,0.878788,66,0.002568,0.001196,0.863636,0.909091,0.848485,0.939394,0.848485,0.954545,0.825379,0.962500
C 40-60 F,0.810624,433,0.000391,0.000455,0.796767,0.825058,0.782679,0.833718,0.769053,0.836028,0.764434,0.846709
C 40-60 M,0.802905,482,0.000352,0.000344,0.790456,0.811203,0.773859,0.821577,0.765560,0.825726,0.759232,0.830965
C 60-80 F,0.732558,946,0.000179,0.000192,0.721987,0.743129,0.715645,0.751586,0.711416,0.753700,0.705920,0.758483
C 60-80 M,0.765935,957,0.000177,0.000158,0.757576,0.775340,0.751306,0.781714,0.748119,0.784953,0.743391,0.793704
C 80-100 F,0.760000,525,0.000323,0.000342,0.746667,0.772381,0.737143,0.783048,0.735143,0.788667,0.730429,0.793381
C 80-100 M,0.724242,330,0.000514,0.000491,0.705303,0.736364,0.690909,0.748485,0.687727,0.754697,0.677045,0.757576
H 20-40 F,1.000000,7,0.024215,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 20-40 M,1.000000,5,0.033901,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 40-60 F,0.894737,19,0.008921,0.005134,0.842105,0.947368,0.789474,0.947368,0.736842,1.000000,0.736842,1.000000
H 40-60 M,0.777778,18,0.009417,0.011544,0.666667,0.833333,0.611111,0.888889,0.608333,0.944444,0.555556,0.944444
H 60-80 F,0.772727,22,0.007705,0.008977,0.727273,0.863636,0.636364,0.909091,0.636364,0.954545,0.612500,0.954545
H 60-80 M,0.761905,21,0.008072,0.006870,0.714286,0.809524,0.666667,0.857143,0.619048,0.904762,0.594048,0.904762
H 80-100 F,1.000000,6,0.028251,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 80-100 M,0.750000,4,0.042377,0.055522,0.687500,1.000000,0.500000,1.000000,0.500000,1.000000,0.368750,1.000000
O 20-40 F,0.750000,4,0.042377,0.049663,0.500000,0.750000,0.500000,1.000000,0.500000,1.000000,0.368750,1.000000
O 20-40 M,1.000000,2,0.084753,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 40-60 F,0.857143,14,0.012108,0.008050,0.857143,0.928571,0.785714,1.000000,0.714286,1.000000,0.714286,1.000000
O 40-60 M,0.789474,19,0.008921,0.009999,0.736842,0.842105,0.684211,0.947368,0.631579,0.947368,0.631579,0.947368
O 60-80 F,0.777778,27,0.006278,0.007710,0.740741,0.851852,0.666667,0.888889,0.592593,0.888889,0.592593,0.908333
O 60-80 M,0.785714,28,0.006054,0.007626,0.714286,0.857143,0.675000,0.892857,0.642857,0.892857,0.624107,0.928571
O 80-100 F,0.888889,9,0.018834,0.010937,0.888889,1.000000,0.777778,1.000000,0.666667,1.000000,0.666667,1.000000
O 80-100 M,1.000000,5,0.033901,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
