grp_name,naive,naive_var_u1,count,val,val_ols,val_lpr,boot_var_rlpr,boot_mean_rlpr,median_rlpr,ci50l_rlpr,ci50u_rlpr,ci80l_rlpr,ci80u_rlpr,ci90l_rlpr,ci90u_rlpr,ci95l_rlpr,ci95u_rlpr
AA 20-40 F,0.117647,0.002645,58,0.113486,0.128249,0.118617,0.002480,0.002480,0.116906,0.088549,0.145612,0.046301,0.176525,0.031530,0.194314,0.027237,0.211527
AA 20-40 M,0.137931,0.004648,33,0.108550,0.103122,0.136853,0.004102,0.004102,0.138413,0.104951,0.169193,0.051134,0.216549,0.022463,0.230215,-0.010552,0.264412
AA 40-60 F,0.152542,0.000763,201,0.161692,0.162264,0.155777,0.000747,0.000747,0.158420,0.140291,0.175390,0.125434,0.190621,0.121175,0.203723,0.100007,0.211383
AA 40-60 M,0.116279,0.001002,153,0.131562,0.116279,0.116279,0.001157,0.001157,0.124108,0.097819,0.142487,0.078235,0.160422,0.064012,0.170386,0.055123,0.187441
AA 60-80 F,0.226244,0.000629,244,0.221335,0.230008,0.227280,0.000649,0.000649,0.227420,0.211092,0.241363,0.197361,0.265864,0.189196,0.275205,0.185227,0.280333
AA 60-80 M,0.277372,0.000977,157,0.262469,0.277372,0.277372,0.001194,0.001194,0.278971,0.258931,0.308005,0.235880,0.327025,0.221042,0.331057,0.204876,0.341650
AA 80-100 F,0.194444,0.001942,79,0.197780,0.199109,0.197013,0.002247,0.002247,0.202340,0.170629,0.239058,0.143530,0.260184,0.131757,0.273833,0.120487,0.304618
AA 80-100 M,0.250000,0.004948,31,0.184525,0.162676,0.213663,0.005608,0.005608,0.203887,0.163514,0.270196,0.116334,0.316992,0.086793,0.327670,0.070049,0.337270
C 20-40 F,0.072289,0.001632,94,0.081190,0.077443,0.070433,0.001284,0.001284,0.072668,0.046852,0.095913,0.026011,0.119904,0.013906,0.126341,0.007142,0.145183
C 20-40 M,0.034483,0.002324,66,0.069861,0.034483,0.034483,0.002395,0.002395,0.038993,0.003351,0.071172,-0.023933,0.088220,-0.037849,0.105246,-0.050496,0.120347
C 40-60 F,0.138107,0.000354,433,0.136140,0.143907,0.138419,0.000335,0.000335,0.139620,0.127077,0.148182,0.113295,0.156780,0.101958,0.163185,0.091645,0.165448
C 40-60 M,0.127907,0.000318,482,0.131791,0.125478,0.129348,0.000353,0.000353,0.130527,0.116644,0.141056,0.103470,0.151394,0.095357,0.158063,0.093721,0.161054
C 60-80 F,0.220238,0.000162,946,0.217773,0.220238,0.220238,0.000155,0.000155,0.221881,0.212752,0.230474,0.205900,0.236546,0.199690,0.240610,0.195893,0.241780
C 60-80 M,0.187943,0.000160,957,0.190385,0.187943,0.187943,0.000139,0.000139,0.189010,0.180229,0.197813,0.174675,0.202374,0.170178,0.207768,0.166537,0.211244
C 80-100 F,0.172489,0.000292,525,0.169076,0.171768,0.171599,0.000284,0.000284,0.175043,0.161426,0.187052,0.149537,0.191753,0.142243,0.196353,0.140721,0.200822
C 80-100 M,0.212838,0.000465,330,0.205751,0.212838,0.212838,0.000420,0.000420,0.215966,0.201535,0.228075,0.186695,0.238143,0.182034,0.245314,0.176999,0.254769
H 20-40 F,0.000000,0.021912,7,0.076862,0.047241,0.040557,0.015402,0.015402,0.022751,-0.071021,0.104779,-0.146229,0.161529,-0.177865,0.202786,-0.218889,0.217729
H 20-40 M,0.000000,0.030676,5,0.055377,-0.015801,-0.011826,0.005824,0.005824,-0.037890,-0.100220,0.002576,-0.141013,0.057159,-0.175650,0.076413,-0.199620,0.088675
H 40-60 F,0.062500,0.008073,19,0.110766,0.054674,0.044695,0.005797,0.005797,0.029625,-0.015563,0.081165,-0.054624,0.147924,-0.071332,0.181203,-0.081199,0.204156
H 40-60 M,0.250000,0.008521,18,0.146447,0.184751,0.227251,0.007495,0.007495,0.225792,0.175596,0.283265,0.105789,0.327281,0.075505,0.354833,0.033492,0.373879
H 60-80 F,0.200000,0.006972,22,0.188576,0.174972,0.186964,0.005502,0.005502,0.200800,0.151670,0.249401,0.119647,0.279058,0.064252,0.297543,0.034601,0.330446
H 60-80 M,0.117647,0.007304,21,0.177397,0.143883,0.135178,0.005619,0.005619,0.135074,0.100865,0.188117,0.070684,0.254465,0.060772,0.285700,0.037621,0.310163
H 80-100 F,0.000000,0.025564,6,0.135095,0.063265,0.001407,0.011512,0.011512,-0.033135,-0.079353,0.031735,-0.140932,0.072497,-0.185447,0.092342,-0.247093,0.147325
H 80-100 M,0.000000,0.038345,4,0.163474,0.172892,0.108300,0.010614,0.010614,0.121249,0.052953,0.187893,-0.016708,0.236444,-0.039776,0.267329,-0.091827,0.290130
O 20-40 F,0.250000,0.038345,4,0.106563,0.179917,0.204359,0.028156,0.028156,0.207736,0.119672,0.313599,-0.001007,0.371973,-0.043762,0.481370,-0.149393,0.554032
O 20-40 M,0.000000,0.076691,2,0.070076,0.038968,0.055790,0.006866,0.006866,0.039668,-0.008941,0.097327,-0.055953,0.141080,-0.084603,0.164182,-0.120898,0.183695
O 40-60 F,0.142857,0.010956,14,0.126690,0.114178,0.128599,0.004445,0.004445,0.128364,0.090011,0.168324,0.039168,0.194790,-0.009559,0.209281,-0.019531,0.215687
O 40-60 M,0.222222,0.008073,19,0.133275,0.139612,0.194214,0.007005,0.007005,0.190241,0.144930,0.240663,0.089450,0.297849,0.054282,0.349253,0.035642,0.376138
O 60-80 F,0.160000,0.005681,27,0.184139,0.170868,0.164542,0.004958,0.004958,0.162275,0.127780,0.188776,0.085732,0.247839,0.045967,0.278106,0.004515,0.317038
