grp_name,val,count,var_u1,var_u0,ci50l,ci50u,ci80l,ci80u,ci90l,ci90u,ci95l,ci95u
AA 20-40 F,0.333333,58,0.015373,0.031235,0.200000,0.444444,0.082692,0.504545,0.000000,0.572857,0.000000,0.613125
AA 20-40 M,0.200000,33,0.027019,0.035201,0.000000,0.333333,0.000000,0.500000,0.000000,0.500000,0.000000,0.591667
AA 40-60 F,0.228571,201,0.004436,0.005443,0.181818,0.272147,0.137296,0.334483,0.110913,0.361348,0.102984,0.384943
AA 40-60 M,0.464286,153,0.005828,0.009620,0.390252,0.521739,0.321429,0.565839,0.290972,0.607555,0.253831,0.633558
AA 60-80 F,0.137931,244,0.003654,0.002109,0.119213,0.173953,0.090293,0.200313,0.070139,0.207747,0.067759,0.229724
AA 60-80 M,0.173913,157,0.005679,0.003647,0.125000,0.209441,0.092544,0.255947,0.081027,0.269283,0.075670,0.277216
AA 80-100 F,0.125000,79,0.011286,0.007116,0.066667,0.176471,0.000000,0.222222,0.000000,0.264706,0.000000,0.304038
AA 80-100 M,0.000000,31,0.028762,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C 20-40 F,0.333333,94,0.009485,0.026285,0.220238,0.428571,0.142857,0.504545,0.000000,0.601250,0.000000,0.666667
C 20-40 M,0.500000,66,0.013509,0.075984,0.333333,0.666667,0.166667,0.900000,0.000000,1.000000,0.000000,1.000000
C 40-60 F,0.205882,433,0.002059,0.002608,0.166667,0.231113,0.141729,0.262628,0.125000,0.287943,0.119177,0.309715
C 40-60 M,0.179104,482,0.001850,0.002078,0.149254,0.200000,0.122890,0.232966,0.107611,0.247253,0.078691,0.270290
C 60-80 F,0.170404,946,0.000943,0.000623,0.154133,0.181930,0.142146,0.199592,0.128151,0.209058,0.126340,0.217685
C 60-80 M,0.224390,957,0.000932,0.000881,0.199769,0.240196,0.177982,0.256935,0.172923,0.270304,0.163654,0.278392
C 80-100 F,0.202020,525,0.001698,0.001451,0.168510,0.220310,0.148116,0.237847,0.134716,0.248342,0.129286,0.270472
C 80-100 M,0.086957,330,0.002702,0.001219,0.067295,0.116562,0.044776,0.136426,0.028532,0.150726,0.025463,0.152778
H 20-40 F,1.000000,7,0.127373,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
H 20-40 M,0.000000,0,,,,,,,,,,
H 40-60 F,0.666667,19,0.046927,0.106709,0.500000,1.000000,0.050000,1.000000,0.000000,1.000000,0.000000,1.000000
H 40-60 M,0.333333,18,0.049534,0.046172,0.200000,0.444444,0.000000,0.600000,0.000000,0.714286,0.000000,0.750000
H 60-80 F,0.200000,22,0.040528,0.036731,0.000000,0.285714,0.000000,0.500000,0.000000,0.500000,0.000000,0.578889
H 60-80 M,0.333333,21,0.042458,0.101277,0.000000,0.500000,0.000000,0.820000,0.000000,1.000000,0.000000,1.000000
H 80-100 F,0.000000,0,,,,,,,,,,
H 80-100 M,1.000000,4,0.222903,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
O 20-40 F,0.000000,4,0.222903,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 20-40 M,0.000000,0,,,,,,,,,,
O 40-60 F,0.000000,14,0.063687,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 40-60 M,0.200000,19,0.046927,0.055580,0.000000,0.333333,0.000000,0.500000,0.000000,0.670833,0.000000,0.806250
O 60-80 F,0.000000,27,0.033023,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O 60-80 M,0.166667,28,0.031843,0.030470,0.000000,0.333333,0.000000,0.428571,0.000000,0.500000,0.000000,0.500000
O 80-100 F,0.000000,0,,,,,,,,,,
O 80-100 M,1.000000,5,0.178322,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
